"","x","y","Geothermal","Minerals","Chalcedony","Kaolinite","Gypsum","Temperature","Faults","Deformation"
"63",327698.6,4406428.5,1,0,0,0,0,10,0.59092116355896,-29.8940715789795
"64",327701.6,4406428.5,1,0,0,0,0,10,0.591077506542206,-29.6095752716064
"65",327704.6,4406428.5,1,0,0,0,0,10,0.591117858886719,-28.9325752258301
"66",327707.6,4406428.5,1,0,0,0,0,10,0.591035842895508,-28.2523345947266
"67",327710.6,4406428.5,1,0,0,0,0,10,0.590814650058746,-28.6993312835693
"68",327713.6,4406428.5,1,0,0,0,0,10,0.590905904769897,-27.6121616363525
"69",327716.6,4406428.5,1,0,0,0,0,9,0.591214299201965,-26.6616630554199
"70",327719.6,4406428.5,1,0,0,0,0,9,0.591383039951324,-26.4656410217285
"71",327722.6,4406428.5,1,0,0,0,0,9,0.591408967971802,-26.4165287017822
"72",327725.6,4406428.5,1,0,0,0,0,9,0.591288566589355,-26.4366798400879
"73",327728.6,4406428.5,1,0,0,0,0,9,0.591017782688141,-26.0028285980225
"74",327731.6,4406428.5,1,0,0,0,0,9,0.590591907501221,-25.8937873840332
"75",327734.6,4406428.5,1,0,0,0,0,9,0.590005815029144,-25.976770401001
"76",327737.6,4406428.5,1,0,0,0,0,9,0.589253306388855,-25.2128753662109
"77",327740.6,4406428.5,1,0,0,0,0,8,0.588327348232269,-24.9056186676025
"78",327743.6,4406428.5,1,0,0,0,0,8,0.587219834327698,-24.6055679321289
"79",327746.6,4406428.5,1,0,0,0,0,8,0.585921168327332,-23.6582450866699
"80",327749.6,4406428.5,1,0,0,0,0,NA,0.584420144557953,-23.550651550293
"81",327752.6,4406428.5,1,0,0,0,0,NA,0.582703411579132,-23.1530704498291
"82",327755.6,4406428.5,1,0,0,0,0,NA,0.580754995346069,-22.6586093902588
"83",327758.6,4406428.5,1,0,0,0,0,NA,0.578555166721344,-22.0881538391113
"84",327761.6,4406428.5,1,0,0,0,0,NA,0.576079428195953,-22.2369136810303
